match_id,start_time,avg_rank_tier,lobby_type,game_mode,duration,radiant_win,radiant_team,dire_team
8831550578,1780145290,71,0,22,2370,1,"71,105,19,23,11","62,39,27,81,70"
8831550560,1780145305,75,7,22,2475,0,"120,121,49,6,58","110,47,138,29,31"
8831550536,1780145301,75,7,22,1672,1,"96,104,112,67,39","74,76,38,48,105"
8831550525,1780145305,75,7,22,2518,0,"39,99,22,88,93","90,4,26,129,7"
8831550512,1780145305,75,7,22,2085,0,"129,86,9,63,5","14,113,136,22,26"
8831550487,1780145300,71,7,22,2366,0,"26,69,107,19,54","6,74,60,123,25"
8831550410,1780145300,72,7,22,2303,1,"69,36,20,22,17","84,41,14,2,76"
8831550336,1780145296,72,7,3,2605,0,"129,9,30,52,11","29,102,110,56,2"
8831550294,1780145290,72,7,22,2440,0,"44,2,53,90,19","96,33,106,11,26"
8831550163,1780145285,75,7,22,2559,0,"14,71,15,41,35","93,98,128,36,110"
8831550158,1780145281,75,7,22,2061,0,"35,104,123,54,26","71,45,11,98,17"
8831550156,1780145280,74,7,22,2487,0,"104,31,114,25,128","86,59,6,36,85"
8831550056,1780145281,75,7,22,2145,1,"39,101,6,51,36","104,41,131,74,31"
8831549868,1780145276,73,7,22,2668,0,"86,59,60,109,50","7,15,26,138,107"
8831549786,1780145270,73,7,22,2571,1,"138,123,35,74,36","114,37,29,25,75"
8831549756,1780145265,75,7,22,2477,0,"120,100,136,37,145","101,81,43,14,75"
8831549709,1780145266,73,7,22,2480,1,"70,128,104,20,145","8,114,31,21,129"
8831549694,1780145270,74,7,22,2148,0,"41,21,75,128,94","39,6,1,112,110"
8831549691,1780145269,73,7,22,1585,1,"38,14,112,5,138","37,10,105,18,34"
8831549577,1780145261,75,7,22,2548,0,"94,28,105,14,22","7,48,25,31,2"
8831549500,1780145240,75,7,22,1861,1,"128,41,110,135,121","12,31,107,90,14"
8831549457,1780145255,73,0,22,2308,1,"9,13,67,69,20","26,19,100,11,14"
8831549391,1780145256,75,7,22,2552,0,"128,84,48,31,121","88,77,53,72,100"
8831549309,1780145250,75,7,22,1466,1,"7,107,104,36,26","60,128,54,39,75"
8831549181,1780145240,73,7,22,1575,0,"135,6,21,39,26","36,27,108,92,71"
8831549178,1780145230,75,7,22,1913,1,"60,26,6,51,34","56,119,52,7,86"
8831549155,1780145245,75,7,22,2273,0,"12,87,110,136,17","128,41,101,31,74"
8831549152,1780145220,71,7,22,2407,0,"56,108,9,14,32","25,110,137,102,41"
8831549033,1780145230,75,7,22,2828,0,"69,93,35,86,112","14,85,6,5,106"
8831549003,1780145230,72,7,22,1635,0,"34,93,131,60,86","128,58,44,84,36"
8831548972,1780145236,75,7,22,2477,1,"105,87,100,96,41","42,120,101,48,20"
8831548931,1780145210,75,7,22,2414,0,"54,83,47,85,21","60,94,71,123,136"
8831548911,1780145230,75,7,22,2169,1,"31,28,44,120,26","87,53,65,145,25"
8831548892,1780145236,74,7,22,1610,1,"86,93,5,36,29","41,108,39,31,128"
8831548880,1780145239,72,1,2,1655,1,"37,36,33,86,7","25,30,2,11,87"
8831548848,1780145226,71,7,22,2252,1,"128,12,104,17,22","131,34,90,48,99"
8831548825,1780145231,74,7,22,2755,1,"14,29,39,105,72","48,13,84,60,123"
8831548823,1780145231,75,7,22,2485,0,"71,29,119,6,22","121,86,67,108,39"
8831548739,1780145215,71,0,22,1871,0,"2,14,26,6,39","93,36,135,23,40"
8831548679,1780145225,75,7,22,2151,1,"93,31,75,135,35","26,65,2,106,70"
8831548668,1780145220,75,7,22,2310,0,"75,69,86,39,41","26,128,8,106,43"
8831548550,1780145220,74,7,22,2098,0,"39,48,90,73,14","12,29,128,85,97"
8831548406,1780145205,75,7,22,2010,1,"14,22,123,54,39","41,35,111,51,98"
8831548392,1780145205,75,7,22,2251,1,"128,65,41,21,60","108,14,53,8,20"
8831548373,1780145209,71,0,22,2695,0,"59,56,112,104,63","97,53,48,129,7"
8831548371,1780145205,73,7,22,2253,0,"9,21,23,63,28","40,84,15,36,17"
8831548359,1780145211,75,7,22,1889,0,"27,83,104,145,106","54,63,30,36,98"
8831548329,1780145209,72,7,22,2576,1,"44,123,7,14,135","6,85,69,26,36"
8831548328,1780145205,71,7,22,1875,1,"92,2,110,88,44","35,27,36,8,31"
8831548222,1780145205,75,7,22,2092,1,"128,17,26,135,114","41,42,25,123,60"
8831548220,1780145205,75,7,22,1894,1,"14,10,110,74,26","100,106,21,6,120"
8831548006,1780145195,75,7,22,2306,1,"128,71,106,41,28","12,25,22,101,2"
8831547992,1780145195,71,7,22,2646,0,"26,2,75,25,19","36,60,105,9,93"
8831547897,1780145190,75,7,22,2028,1,"126,51,25,29,37","97,105,69,90,94"
8831547883,1780145196,73,1,2,1921,1,"105,71,120,108,41","26,29,107,85,80"
8831547852,1780145190,71,7,22,2461,1,"43,70,80,22,30","104,101,37,39,94"
8831547849,1780145186,75,7,22,1625,1,"86,60,88,56,41","93,96,49,123,85"
8831547768,1780145186,75,7,22,2020,0,"28,94,108,27,26","9,105,67,2,86"
8831547766,1780145185,75,7,22,1874,1,"25,46,31,35,112","72,9,135,6,86"
8831547758,1780145170,73,0,4,2059,1,"27,28,12,73,86","128,105,38,36,58"
8831547732,1780145171,72,0,22,2163,1,"6,86,2,120,98","104,75,1,88,28"
8831547719,1780145185,75,7,22,2276,1,"145,96,91,26,11","129,41,51,87,110"
8831547622,1780145180,71,7,3,1960,1,"17,39,88,48,2","129,101,37,4,44"
8831547581,1780145175,74,7,22,1940,1,"20,60,119,128,6","31,48,135,22,91"
8831547516,1780145171,75,7,22,2782,1,"54,101,135,14,35","100,11,15,30,90"
8831547445,1780145165,75,7,22,1632,1,"105,135,39,48,3","145,110,128,67,7"
8831547397,1780145170,75,7,22,2852,0,"14,29,9,86,95","104,8,21,53,39"
8831547300,1780145151,75,7,22,1995,1,"26,13,135,104,51","83,12,74,120,29"
8831547218,1780145150,73,7,3,2048,1,"69,64,123,53,54","85,15,68,22,44"
8831547155,1780145160,75,7,22,2091,0,"49,18,75,128,7","67,19,35,45,97"
8831547082,1780145155,75,7,22,2300,1,"137,26,31,6,22","2,68,17,110,48"
8831547076,1780145151,75,7,22,2316,1,"44,2,39,83,123","11,25,86,43,105"
8831547071,1780145145,75,7,22,2554,1,"100,45,128,41,98","47,14,145,20,123"
8831546998,1780145150,71,7,22,2196,0,"40,14,104,26,80","12,105,83,43,86"
8831546884,1780145140,73,7,22,1404,1,"6,87,36,71,120","126,123,26,67,60"
8831546804,1780145141,75,7,22,1928,1,"47,59,25,123,54","41,105,71,36,137"
8831546728,1780145141,75,7,22,1669,0,"129,111,54,90,38","120,123,26,48,77"
8831546692,1780145131,73,7,22,2485,0,"123,36,101,93,29","6,40,69,27,14"
8831546674,1780145131,73,7,22,1992,0,"131,21,54,11,109","74,30,15,71,108"
8831546633,1780145135,75,7,22,2554,0,"9,123,14,145,98","26,60,36,83,17"
